DetectorID,Location
490.2.253,CC-215 WB between Grand Legacy Dr and Green Valley Pkwy
622.1.479,I-215 SB TownCenter OnRamp between Sahara Avenue and I-515 SB to Lake Mead Dr
595.2.482,CC-215 WB between I-515 SB to Lake Mead Dr and Sahara Avenue
426.3.338,I-15 SB between 2.71 Miles south of Sloan Road and 1.71 Miles south of Sloan Road
706.1.732,I-11 SB between Buchanan Blvd and Hoover Dam Bridge Int/93
204.2.62,I-515 SB between I-515 SB Eastern Off-Ramp and I-515 SB Eastern On-Ramp
26.2.98,CC-215 EB between I-15 NB to I-215 EB Ramp and Las Vegas Boulevard
126.2.80,I-15 NB MLK Blvd Off-Ramp between I-15 NB and Martin Luther King Boulevard
433.2.354,I-15 SB between 9.71 Miles south of Sloan Road and 8.71 Miles south of Sloan Road
142.1.55,I-15 SB between I-15 SB Washington Off-Ramp and I-15 SB Washington On-Ramp
41.2.140,I-15 SB between I-215 WB to I-15 SB Ramp and I-215 EB to I-15 SB Ramp
31.1.7,I-215 WB to I-15 SB Ramp between CC-215 WB and I-15 SB
78.1.773,I-15 SB between I-15 SB Flamingo On-Ramp and I-15 SB Tropicana Off-Ramp
167.2.754,US-95 NB between I-15 NB to US-95 NB Ramp and US-95 NB Rancho Off-Ramp
705.3.730,I-11 SB between US-95 and Buchanan Blvd
732.2.728,I-11 NB US 95 NB On Ramp between US-95 NB and I-11 NB US 95 NB On Ramp
473.1.252,I-15 SB Craig WB On-Ramp between Craig Road and I-15 SB
81.2.24,I-15 SB Flamingo On-Ramp between Flamingo Road and I-15 SB
402.4.444,I-15 NB between Clark County 215 and Centennial Parkway
136.1.47,I-15 SB between US-95 NB to I-15 SB Ramp and US-95 SB to I-15 SB Ramp
349.3.152,I-15 SB between Serene Avenue and Wigwam Avenue
416.1.215,US-95 NB between Half Moon Bay and Lake Mead Boulevard
457.1.14,I 15 Exp NB between Russell Road and I-15 NB Russell On-Ramp
610.2.473,CC-215 EB between Flamingo Road and Tropicana Avenue
703.1.726,I-11 SB between US-93 and Silverline Rd
424.1.332,I-15 SB between 0.71 Miles south of Sloan Road and Sloan Road
632.1.498,I-215 SB Lake Mead OnRamp between Sunset Road and Durango
402.3.443,I-15 NB between Clark County 215 and Centennial Parkway
415.1.223,US-95 NB between Lake Mead Boulevard and Rainbow Boulevard
635.1.504,I-215 SB Cheyenne OffRamp between Sunset Road and Durango
638.1.468,I-215 NB Russell OnRamp between Alexander Road and Cheyenne Avenue
15.1.6,I-215 EB to I-15 SB Ramp between CC-215 EB and I-15 SB
610.1.475,CC-215 EB between Flamingo Road and Tropicana Avenue
376.3.291,I-515 NB between Dell Santos Drive and Mountain Vista Street
548.1.376,I-515 NB Horizon Off Ramp between I-515 NB and Horizon
171.3.761,US-95 SB to I-15 SB Ramp between US-95 SB and I-15 SB
731.2.744,US-93 SB between US-93 SB and US-95 SB
115.1.45,I-15 NB Grand Central Off-Ramp between I-15 NB and Grand Central Parkway
616.1.467,I-215 SB Russell OnRamp between Alexander Road and Cheyenne Avenue
381.3.102,I-515 NB between Warm Springs Road and American Pacific Drive
711.2.735,I-11 NB between Hoover Dam Bridge Int/93 and Buchanan Blvd
685.1.452,I-215 SB Decatur OffRamp between I-515 SB to Lake Mead Dr and Flamingo Road
445.1.348,I-15 NB between 5.71 Miles south of Sloan Road and 6.71 Miles south of Sloan Road
369.1.382,I-515 SB between Long Acres Drive and Waterwheel Falls Drive
375.2.164,I-515 NB between Viking Road and Dell Santos Drive
505.1.274,CC-215 EB between Durango and Cimmaron
86.1.28,I-15 NB Sping Mtn EB Off-Ramp between I-15 NB and Spring Mountain Road
212.1.276,I-515 SB between I-515 SB Charleston Off-Ramp and I-515 SB Charleston On-Ramp
710.3.739,I-11 NB between Hoover Dam Bridge Int/93 and Buchanan Blvd
445.2.347,I-15 NB between 5.71 Miles south of Sloan Road and 6.71 Miles south of Sloan Road
15.2.6,I-215 EB to I-15 SB Ramp between CC-215 EB and I-15 SB
695.1.536,I-15 NB LV Blvd OffRamp between 2.71 Miles south of Sloan Road and I-15 NB
412.3.515,US-95 SB between Ann Road and Clark County 215
354.1.79,I-15 NB between Robindale Road and Wigwam Avenue
365.3.305,I-515 SB between Sunset Road and Stephanie Street
109.1.37,I-15 SB Boulder Off-Ramp between Sahara Avenue and I-15 SB
697.1.537,I-15 SB LV Blvd OnRamp between I-15 NB and 3.71 Miles south of Sloan Road
400.4.431,I-15 NB between Smiley Road and Ann Road
626.1.486,I-215 SB Charleston OnRamp between Russell Road and Sunset Road
528.1.96,I-15 SB CD between Warm Springs Road and Clark County 215
26.1.97,CC-215 EB between I-15 NB to I-215 EB Ramp and Las Vegas Boulevard
572.1.391,I-515 SB College Off Ramp between I-515 SB and College Drive
47.1.92,I-15 NB to I-215 EB Ramp between I-15 NB and CC-215 EB
354.2.144,I-15 NB between Robindale Road and Wigwam Avenue
432.1.77,I-15 SB between 8.71 Miles south of Sloan Road and 7.71 Miles south of Sloan Road
521.1.156,I 15 Exp SB between Pebble and Serene Avenue
102.2.37,I-15 SB between I-15 SB Sahara Off-Ramp and I-15 SB Sahara On-Ramp
2.749.727,CC-215 EB between  and 
215.4.366,I-515 NB between I-515 NB Charleston Off-Ramp and I-515 NB Charleston On-Ramp
25.2.97,CC-215 WB between Gilespie Street and Las Vegas Boulevard
518.3.142,I 15 Exp SB between Warm Springs Road and Robindale Road
61.1.18,I-15 NB Tropicana On-Ramp between I-15 NB and Tropicana Avenue
727.1.741,I-11 NB Bridge US 93 On Ramp between I-11 NB and Hoover Dam Bridge Int/93
402.2.439,I-15 NB between Clark County 215 and Centennial Parkway
356.1.309,I-15 NB between Serene Avenue and Pyle Avenue
428.3.344,I-15 SB between 4.71 Miles south of Sloan Road and 3.71 Miles south of Sloan Road
398.1.249,I-15 NB between Alexander Road and Craig Road
194.1.71,I-515 SB between I-515 SB LV Blvd Off-Ramp and I-515 SB LV Blvd On-Ramp
416.2.224,US-95 NB between Half Moon Bay and Lake Mead Boulevard
603.2.499,CC-215 EB between Cheyenne Avenue and Lake Mead Boulevard
675.2.456,CC-215 EB between Charleston Boulevard and Sahara Avenue
516.1.151,I 15 Exp NB between Blue Diamond Road and Wigwam Avenue
355.2.153,I-15 NB between Wigwam Avenue and Serene Avenue
